Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-181.78027,100.36228,-70.921486,-408.40253,94.27272727272727,-176.12366,91.29191,-50.083855,-376.94254,89.17391304347827,-2.7297966480255127,10628.6630859375,2051,0.6182637214660645,-176.12366,0
-184.17642,106.595764,-12.622368,-408.04562,92.86363636363636,-173.84879,106.53165,-6.7400894,-442.3371,98.04761904761905,-2.2765913009643555,10503.7470703125,4110,1.3402268886566162,,1
-156.73422,77.8009,38.29344,-329.13553,107.52631578947368,-163.23474,90.83428,-35.277412,-385.21722,98.38095238095238,-2.084397077560425,7973.91650390625,6176,1.9369568824768066,,2
-205.50153,128.47072,-50.102898,-455.9529,112.33333333333333,-221.01675,106.601364,18.252548,-458.1356,108.57894736842105,-2.569683313369751,11756.0322265625,8239,2.588214874267578,,3
-165.9663,98.08392,-13.962753,-344.02747,106.05263157894737,-226.78815,89.163414,-86.99971,-414.1047,119.3529411764706,-2.2431681156158447,10261.5517578125,10268,3.1998989582061768,,4
-202.94981,114.144035,-18.38218,-410.22177,116.21052631578948,-187.23534,88.19913,-57.00668,-333.79248,118.77777777777777,-1.7595182657241821,6025.78369140625,12406,3.8928439617156982,,5
-138.13338,84.29127,-20.92353,-336.09946,128.875,-227.99118,113.25566,-12.13382,-452.18518,125.82352941176471,-1.812975525856018,9343.6630859375,14545,4.5925257205963135,,6
-179.9841,124.62875,-34.542747,-482.008,134.46666666666667,-199.87415,126.09069,31.659836,-413.2516,130.875,-1.510270595550537,7882.8095703125,16639,5.2728447914123535,,7
-222.58626,138.89995,26.815178,-520.6265,151.35714285714286,-234.35982,136.2008,-13.262894,-469.17175,134.6,-1.5953755378723145,8840.6298828125,18658,5.982979774475098,,8
-146.03165,138.58809,-11.168503,-344.96497,400.2,-233.85727,152.39519,-13.446484,-546.3239,160.84615384615384,-1.3315536975860596,9401.7001953125,20749,7.327319145202637,,9
-251.29524,143.52069,-38.27063,-463.45163,157.15384615384616,-193.83865,107.17367,-34.21946,-432.9657,147.35714285714286,-1.2378003597259521,5665.64306640625,22812,8.090909957885742,,10
-279.6007,158.04532,-22.701141,-516.2532,205.5,-296.61038,111.0346,-117.52327,-537.9529,268.0,-0.401403546333313,6060.51123046875,24956,9.582660913467407,,11
-242.49559,130.52783,-16.364326,-543.1798,155.07692307692307,-272.9973,112.47132,-113.39528,-565.1814,157.84615384615384,-1.0630038976669312,7259.5029296875,27008,10.30966591835022,,12
-226.00865,130.70015,-33.29074,-451.7029,160.6153846153846,-232.68114,102.345375,-14.806892,-391.085,193.72727272727272,-0.879485011100769,4821.25,29139,11.099136114120483,,13
-195.3673,114.634415,-40.76449,-342.87042,158.46153846153845,-269.97623,160.84677,-13.004959,-528.9134,178.75,-1.1117799282073975,7800.6064453125,31284,11.882400035858154,,14
-215.07692,123.04764,-47.202805,-434.08105,304.85714285714283,-224.28897,132.51039,24.062534,-442.20663,169.69230769230768,-1.0732791423797607,5967.47607421875,33490,13.420272827148438,,15
-225.67987,86.81322,-42.15858,-345.1455,191.45454545454547,-112.27249,79.81985,-9.530998,-285.97873,237.66666666666666,-0.04811124876141548,2215.2666015625,35629,14.62345290184021,,16
-161.09505,124.1967,-33.335133,-450.0751,171.5,-193.0644,106.81179,-5.274431,-315.2337,184.33333333333334,-0.7918201088905334,4950.43115234375,37841,15.522873878479004,,17
-130.60013,98.01214,41.55755,-261.73734,298.0,-173.39673,112.09628,-13.068245,-366.61404,155.30769230769232,-0.7972514033317566,4035.26220703125,39860,17.47800302505493,,18
-176.99326,58.870068,-60.674877,-270.1896,202.45454545454547,-124.862404,112.49,27.697182,-293.1942,244.63636363636363,-0.07650105655193329,2521.30029296875,42551,19.502656936645508,,19
-157.67165,65.16254,-54.611366,-254.11928,209.0909090909091,-179.36711,148.64236,-0.12483978,-436.806,457.3333333333333,0.30647391080856323,4350.7939453125,45295,22.024735927581787,,20
-209.59254,128.27087,21.904316,-373.32068,206.8181818181818,-259.695,77.93868,-138.81305,-392.82736,224.66666666666666,-0.7119779586791992,2959.00732421875,47317,22.96827983856201,,21
-122.3728,77.94271,-11.0186,-224.91449,262.625,-206.29707,83.709564,-33.45789,-341.0104,190.0,-0.595604419708252,3097.10400390625,49407,24.19887685775757,,22
-221.50745,83.08958,-111.191086,-317.85168,284.25,-177.00018,88.565384,-29.512873,-293.94904,188.1818181818182,-0.5033067464828491,2112.40380859375,51477,25.299844980239868,,23
-182.35458,98.44552,-10.061928,-363.67618,213.8181818181818,-194.82225,112.28312,28.061646,-360.69644,218.0,-0.47266191244125366,2233.303466796875,53657,26.56512689590454,,24
