Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-171.97813,92.87893,-68.028305,-365.48248,93.54545454545455,-162.09119,82.8661,-70.624176,-351.2473,83.625,-94.42071533203125,9567.78515625,2007,0.5764601230621338,-162.09119,0
-156.42793,89.7525,-42.023426,-385.10242,84.125,-163.9219,108.17177,21.80973,-411.48874,94.0,-82.807861328125,10497.982421875,4075,1.3310573101043701,,1
-177.8158,123.88983,5.9145737,-496.7586,97.71428571428571,-167.12,106.99752,-54.731976,-418.4453,89.52173913043478,-82.81875610351562,9552.390625,6134,1.9079411029815674,,2
-158.04298,71.849266,-30.225624,-338.32007,96.33333333333333,-205.65324,124.21268,-35.25374,-529.4303,98.9047619047619,-92.35891723632812,11948.9228515625,8211,2.5005712509155273,,3
-161.43475,76.51068,-68.67062,-368.21796,87.17391304347827,-143.50371,76.52855,23.192726,-298.263,87.04347826086956,-62.08346939086914,5003.1591796875,10213,3.052018165588379,,4
-131.78902,87.81769,-12.280167,-401.1335,87.17391304347827,-164.94014,94.99769,-47.24341,-400.3779,101.5,-65.41666412353516,7106.2265625,12243,3.6125082969665527,,5
-137.52455,63.40994,-49.874428,-344.65985,94.18181818181819,-163.91524,89.9803,-63.07847,-467.6153,92.0909090909091,-64.3667221069336,6657.29443359375,14269,4.180580139160156,,6
-124.53202,65.109505,-11.889542,-374.06717,86.29166666666667,-149.79228,73.04195,-42.092793,-318.33063,93.36363636363636,-55.71813201904297,4538.04248046875,16323,4.751236200332642,,7
-134.89583,70.89235,-71.0009,-344.69055,92.81818181818181,-170.80501,88.15056,-58.40953,-416.1225,86.08333333333333,-65.61154174804688,6156.60791015625,18389,5.3075220584869385,,8
-94.701584,30.99094,-8.129921,-152.63309,89.0,-137.06033,68.69745,-45.170708,-340.5984,88.78260869565217,-45.72646713256836,3584.67431640625,20431,5.863816261291504,,9
-148.44583,55.73934,-80.06717,-280.02014,91.22727272727273,-133.69868,52.28512,-27.189117,-228.74573,94.68181818181819,-35.40433883666992,2127.134521484375,22514,6.4200990200042725,,10
-125.784004,71.6676,0.8176346,-323.28864,93.5,-127.53982,68.01566,5.0567856,-318.86865,92.22727272727273,-34.14823913574219,3052.04833984375,24543,6.981823205947876,,11
-133.44086,73.32461,-13.219864,-347.34583,93.72727272727273,-126.643715,63.77161,-13.694557,-313.7504,88.56521739130434,-30.38848114013672,2272.23779296875,26580,7.549574136734009,,12
-113.2271,44.690956,-17.740128,-230.25133,91.0,-124.01141,76.31254,30.966503,-354.88614,95.38095238095238,-22.842519760131836,2753.48681640625,28583,8.10079312324524,,13
-108.72074,50.982697,16.789795,-216.12125,104.95,-111.36402,61.962776,-16.102753,-316.0687,91.63636363636364,-17.76028823852539,2016.9000244140625,30599,8.699016332626343,,14
-107.42676,64.156334,-32.038956,-285.7437,96.28571428571429,-126.12752,74.2672,19.975716,-313.2928,96.04545454545455,-21.993539810180664,2855.57080078125,32712,9.311479091644287,,15
-128.6899,65.65033,-27.483978,-281.24448,96.57142857142857,-126.53366,56.834785,-51.344814,-267.55374,87.91304347826087,-27.5240478515625,2061.586181640625,34734,9.876830339431763,,16
-125.97435,79.52322,-38.831837,-330.5451,105.63157894736842,-101.71011,59.83287,-20.704445,-237.62589,100.76190476190476,-3.9165492057800293,1398.6563720703125,36850,10.49420428276062,,17
-117.04634,71.10776,-40.069286,-314.82245,102.85,-116.897484,55.209396,-47.504974,-287.9844,93.45454545454545,-18.534807205200195,1524.9951171875,38906,11.071884155273438,,18
-104.959335,48.779793,-49.229828,-215.27142,109.36842105263158,-101.20039,53.646507,29.511616,-238.63072,101.15,-3.5291881561279297,1344.2725830078125,40929,11.662335395812988,,19
-111.846085,55.79131,-32.638664,-238.0008,104.7,-100.85097,57.99181,26.205544,-236.70447,99.66666666666667,-0.8580951690673828,1569.3477783203125,43022,12.266469240188599,,20
-122.6031,58.91223,-15.673843,-235.41946,102.65,-101.569534,54.02136,-1.8643494,-200.7491,96.38095238095238,-5.036561965942383,1289.71826171875,45046,12.851365089416504,,21
-85.987495,42.907856,13.309984,-188.47014,107.6842105263158,-95.08028,44.052402,-24.998768,-182.65437,105.15,3.62807035446167,946.8475952148438,47149,13.471569299697876,,22
-93.3075,57.535976,-31.804222,-272.49594,124.76470588235294,-91.08817,43.277462,-43.7202,-166.24353,122.11764705882354,8.338558197021484,919.1561279296875,49225,14.12638521194458,,23
-112.78825,60.02147,-10.913605,-240.28792,135.06666666666666,-80.64914,33.670074,-17.183758,-164.98558,111.44444444444444,11.644558906555176,846.3764038085938,51231,14.762468099594116,,24
-104.78926,59.98014,-13.762711,-244.32672,127.3125,-95.77138,61.54572,-33.31375,-257.53613,127.3125,6.740461349487305,1113.3148193359375,53268,15.427633285522461,,25
-61.095753,36.28901,-0.5623779,-133.85025,123.41176470588235,-88.55147,60.80328,24.433762,-203.4848,134.75,10.048429489135742,1546.2264404296875,55424,16.117964029312134,,26
-114.7127,83.39797,-21.666866,-304.79443,142.06666666666666,-101.997925,72.98939,-24.349232,-288.81433,134.4,3.1038339138031006,1846.3544921875,57440,16.816277027130127,,27
-89.06787,73.44616,-7.922571,-267.26013,148.78571428571428,-106.8546,80.43306,-6.969331,-339.07556,145.57142857142858,2.7566583156585693,1761.5264892578125,59478,17.54686999320984,,28
-103.22075,76.837135,31.872803,-221.12874,246.0,-75.520874,86.724075,42.027523,-247.51794,294.85714285714283,23.635068893432617,2618.029296875,61542,19.893718004226685,,29
-38.29517,36.794025,16.779015,-117.6553,258.375,-104.21127,68.32587,-11.520683,-226.8876,191.36363636363637,7.1336894035339355,1724.523193359375,63647,21.526623964309692,,30
-110.58141,95.18814,29.416122,-300.72147,168.25,-36.024975,38.175095,3.8156013,-113.797485,232.88888888888889,26.624906539916992,2242.715087890625,65743,22.877259016036987,,31
-83.76805,111.2137,33.41656,-317.15607,268.25,-67.773476,81.2967,7.747303,-283.68033,173.91666666666666,16.09682273864746,1817.9136962890625,67830,24.10645031929016,,32
-29.568983,37.163948,16.928799,-103.57779,334.1666666666667,-61.645054,77.58086,43.312958,-189.73376,197.36363636363637,18.159290313720703,2077.17138671875,70001,25.82528519630432,,33
-137.31313,109.01736,6.2801056,-364.75742,238.11111111111111,-113.38749,129.16188,13.420586,-343.35605,211.2,4.642111778259277,2597.344970703125,72113,26.837322235107422,,34
-86.32019,67.5688,1.9662933,-205.32687,323.85714285714283,-155.79066,85.50903,-24.184925,-259.5401,443.3333333333333,9.706250190734863,2227.830078125,74773,29.595612287521362,,35
-64.09395,66.087,8.436798,-194.60089,322.85714285714283,-83.02318,71.72474,37.583973,-248.18901,204.5,7.867499828338623,1677.7470703125,76818,31.28887915611267,,36
-125.44307,101.10668,-29.04456,-300.80945,299.42857142857144,-31.238647,36.57718,25.451988,-102.720894,203.5,19.964399337768555,1362.0283203125,78853,32.522927045822144,,37
-28.354465,36.657394,39.76175,-71.25943,290.57142857142856,-46.059006,51.46574,19.35159,-103.16614,458.0,20.519702911376953,1792.2855224609375,81601,34.93643617630005,,38
-62.750496,52.008255,8.380932,-145.46689,251.625,-93.83602,39.093666,-40.54191,-151.58383,367.3333333333333,11.654728889465332,1138.8026123046875,83805,36.76378798484802,,39
-99.06881,81.12471,22.616913,-197.97493,210.9,-63.834255,77.410286,38.342346,-230.69025,249.44444444444446,7.67551326751709,2177.223876953125,86050,37.85045504570007,,40
