Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-154.72533,96.210175,-24.110733,-353.89514,94.72727272727273,-175.07265,90.70681,-69.58614,-382.885,87.875,-42.85275650024414,10291.6806640625,2109,0.5908718109130859,-175.07265,0
-181.04347,89.746056,-6.6399345,-370.08353,89.47826086956522,-169.28166,107.404396,-32.771896,-467.23697,84.79166666666667,-40.11133575439453,11184.3623046875,4144,1.35310697555542,,1
-140.20518,81.38727,24.759674,-323.41943,92.0,-162.7102,70.56613,-79.982254,-351.1449,96.57142857142857,-31.65825843811035,6605.45654296875,6172,1.93874192237854,,2
-171.07684,87.76847,-64.96177,-358.74408,93.22727272727273,-172.09158,89.45487,-62.460526,-403.63712,95.23809523809524,-32.95305252075195,7715.93017578125,8172,2.5138280391693115,,3
-171.90837,140.53323,2.4249573,-514.47864,101.9,-132.2884,91.31261,5.130501,-366.4254,97.9047619047619,-21.88841438293457,5596.93310546875,10228,3.1249170303344727,,4
-128.3542,89.73942,33.816666,-337.0351,102.7,-143.60208,80.91448,-46.732513,-307.66263,95.57142857142857,-23.770610809326172,5422.9384765625,12235,3.7148499488830566,,5
-125.962906,68.112564,-4.293915,-267.02304,100.35,-148.97255,77.78236,-71.684006,-314.66333,97.0,-22.9661922454834,4922.21337890625,14272,4.311517000198364,,6
-120.87448,66.26521,-7.034073,-269.06528,113.77777777777777,-129.59203,76.55696,-7.3811073,-304.53192,99.42857142857143,-16.665767669677734,3273.133544921875,16360,4.9427759647369385,,7
-177.19075,103.72539,-42.173725,-399.35532,118.23529411764706,-133.19052,72.18776,-4.4570312,-288.75967,112.77777777777777,-14.093271255493164,3250.5361328125,18390,5.571203947067261,,8
-114.12554,74.5229,-12.633423,-287.50204,111.77777777777777,-144.36346,78.76112,-46.81186,-326.73468,114.44444444444444,-14.664684295654297,3716.213134765625,20450,6.215669870376587,,9
-176.69539,112.16481,-27.124931,-481.48245,125.70588235294117,-126.89988,82.06393,7.501541,-304.89447,108.84210526315789,-11.302652359008789,2934.87255859375,22518,6.875223875045776,,10
-112.484215,72.97878,4.2203903,-223.88754,119.6470588235294,-120.42561,105.97155,-4.3690414,-440.1049,101.95,-11.136224746704102,4446.78564453125,24557,7.508295059204102,,11
-108.175476,62.777973,-35.26497,-310.1256,149.42857142857142,-74.58778,88.041794,20.283157,-285.2953,218.9,4.154969692230225,2191.224853515625,26746,8.768671989440918,,12
-166.80104,114.59969,3.9879532,-418.25272,156.53846153846155,-146.78316,93.897705,1.1443558,-349.33014,133.125,-8.19330883026123,3022.57373046875,28876,9.511189937591553,,13
-162.02847,144.92223,-27.522453,-579.3341,152.78571428571428,-173.66757,86.75826,-21.694519,-350.7293,165.3846153846154,-7.503188610076904,2416.9521484375,31026,10.299733877182007,,14
-99.63948,92.84373,-3.1816854,-352.2796,157.5,-92.63278,97.72911,22.109337,-267.32227,232.0,4.167755603790283,2310.84765625,33114,11.619605779647827,,15
-174.25278,83.38173,-24.187386,-336.7741,160.69230769230768,-127.961945,116.63516,24.675575,-328.2067,175.41666666666666,-1.3573288917541504,2270.72314453125,35219,12.45340895652771,,16
-79.310074,95.21051,44.718857,-246.98726,288.85714285714283,-122.63591,79.322556,-26.767847,-272.82474,231.9,2.172915458679199,1645.5660400390625,37538,14.332834005355835,,17
-29.043299,77.55776,85.83017,-156.48112,286.0,-79.57632,75.6172,66.34007,-186.03091,244.1,5.689736366271973,2158.759521484375,39979,16.29665493965149,,18
-85.65445,85.34135,22.329517,-282.44446,155.0,-140.5311,120.340965,-0.10525513,-372.95142,162.76923076923077,-2.5589685440063477,4006.229248046875,42095,17.058372020721436,,19
-71.167984,89.92488,19.533577,-328.45456,160.0,-82.6371,65.394005,12.376102,-205.34479,211.0,4.484195709228516,1534.3751220703125,45049,18.5740168094635,,20
-42.269047,68.76814,73.97189,-147.82397,266.75,-83.50882,101.77541,43.826454,-326.45587,253.0,6.3072099685668945,3282.83154296875,47073,20.743234872817993,,21
-72.35202,53.758514,-21.292936,-226.655,237.33333333333334,-105.24239,82.936516,-16.449234,-328.69528,223.25,2.360520601272583,1778.75341796875,49752,23.05954098701477,,22
-104.22542,95.94482,26.396126,-262.22043,274.4,-64.34457,54.018288,12.643196,-174.24857,169.16666666666666,5.121747970581055,1318.9322509765625,51782,24.79225516319275,,23
-86.07089,67.23591,-5.362442,-204.07649,178.33333333333334,-12.900492,44.16843,36.6388,-95.441154,513.2,9.936023712158203,2201.98046875,54348,26.93381094932556,,24
-69.3192,109.04469,106.64795,-257.23492,240.1818181818182,-45.36923,56.653305,14.781792,-170.65256,290.0,7.293927192687988,1624.5694580078125,56378,29.07436990737915,,25
-57.193497,72.93944,16.50058,-229.73616,159.0,-68.977036,73.76522,22.351294,-187.42664,358.0,5.457507133483887,2102.87255859375,58526,30.63229990005493,,26
-33.843998,34.984703,30.159758,-97.03995,175.25,-73.59366,81.62732,31.381245,-238.76321,166.91666666666666,2.455660343170166,2046.9669189453125,60529,31.48007893562317,,27
3.2918804,67.26423,104.11538,-100.227585,436.8333333333333,-50.036793,80.66219,98.078,-153.7893,336.8333333333333,5.834281921386719,2056.39208984375,62550,34.24341583251953,,28
-47.007763,55.82315,49.28977,-129.64005,275.25,-25.62197,63.57247,57.520073,-152.4834,296.85714285714283,7.536916732788086,2087.819580078125,64628,36.726356983184814,,29
-58.78473,63.658157,21.506367,-204.96286,185.72727272727272,-38.84852,53.367687,22.336517,-187.97249,166.92307692307693,3.7120630741119385,1044.0880126953125,66798,37.59112787246704,,30
-40.514847,59.177048,37.984333,-187.21742,182.25,-43.934772,40.779755,9.397648,-136.31314,159.30769230769232,3.175511121749878,1185.26123046875,68869,38.45964980125427,,31
-37.86108,49.035706,35.38624,-129.22096,200.72727272727272,-30.727303,35.187138,26.671732,-95.50382,187.54545454545453,4.997452259063721,982.3605346679688,70932,39.46357488632202,,32
-97.01988,73.68777,-10.341164,-257.41006,278.875,-46.85187,69.046524,17.400925,-189.76334,183.9090909090909,2.982085943222046,1459.6712646484375,72955,40.59098982810974,,33
-45.883183,46.4802,9.252083,-104.28738,376.8333333333333,-53.590984,48.665176,5.6853104,-133.05035,262.125,1.9585449695587158,1060.2734375,75052,42.32826089859009,,34
107.05622,16.3928,123.44902,90.66342,1000.0,-39.31249,91.227356,112.9171,-179.68536,334.3333333333333,4.5846381187438965,1708.85107421875,77058,45.10730791091919,,35
-80.4242,67.0703,23.569698,-192.50656,293.875,-74.05055,94.36705,52.74903,-232.06308,454.4,2.393251895904541,1334.790283203125,79330,47.44460201263428,,36
-229.36044,131.77762,-32.511604,-388.46484,417.0,-47.873985,52.743134,30.736267,-116.23131,524.5,3.2429940700531006,1294.677490234375,81428,49.67305302619934,,37
-254.23596,261.44214,59.317123,-580.69257,909.3333333333334,-44.644115,106.48625,134.68951,-178.32724,410.6,2.0212695598602295,2257.1611328125,83481,53.07110905647278,,38
-201.27002,152.70642,-4.1923904,-418.98987,394.0,-168.38477,75.070145,-84.37587,-288.65958,513.25,-1.1198798418045044,863.087646484375,85534,55.28962588310242,,39
-28.956696,118.63613,106.43487,-209.60373,452.2,-100.69825,122.88984,46.143723,-338.41553,383.2857142857143,-0.36150962114334106,1898.2342529296875,88217,58.10651898384094,,40
67.69884,27.286392,94.98523,40.412445,1000.0,9.340434,50.249012,75.89993,-56.784874,587.4,4.301229953765869,1237.9061279296875,91154,61.98190093040466,,41
-56.29197,30.904264,-20.968859,-93.1037,452.6,-103.90762,39.669743,-59.95763,-176.90306,381.0,-0.8727018237113953,940.4779052734375,93440,64.2189998626709,,42
-103.76097,51.398224,-30.83226,-177.28897,302.57142857142856,-137.46957,140.75726,-13.980648,-372.5987,448.4,-1.4515761137008667,1266.0703125,95682,66.0451648235321,,43
62.1211,29.301994,91.423096,32.819107,1000.0,3.868964,81.49098,115.320564,-77.25517,776.6666666666666,4.102455139160156,1100.6865234375,98012,69.29226994514465,,44
21.13517,80.29892,128.09856,-92.260506,557.4,-55.48829,92.43823,115.14589,-159.3692,400.4,2.2359797954559326,1768.175537109375,100014,72.06604504585266,,45
51.04586,67.668915,172.36382,-20.854294,482.8,-11.8134775,38.829597,59.226036,-59.670044,368.0,3.568227529525757,1400.061279296875,102222,74.15703010559082,,46
46.80774,62.12999,117.557945,-17.611778,636.5,10.9338665,49.261127,100.861984,-38.922585,408.2,4.179170608520508,850.3342895507812,104263,77.02314686775208,,47
15.5311165,63.258686,144.20988,-48.629883,352.5,41.923386,62.28387,162.97458,-9.885622,408.4,4.824510097503662,1513.7197265625,106305,78.99875807762146,,48
7.1324697,56.074966,101.05571,-77.81443,311.375,82.198044,48.581547,158.04327,32.815323,588.5,5.550665855407715,1119.5118408203125,108659,81.81074380874634,,49
-4.1546326,54.57181,98.47632,-64.63748,405.8,55.585278,98.22015,224.4031,-26.305454,451.6,3.6964499950408936,1446.7652587890625,110917,84.14135193824768,,50
54.468243,83.04312,118.98618,-62.774937,748.6666666666666,-22.605223,45.29635,48.571823,-81.4058,351.8333333333333,0.987934410572052,1131.4041748046875,113028,86.39293718338013,,51
38.775154,81.59846,136.69138,-69.31135,549.0,16.468317,46.619793,106.07913,-30.149612,413.6,2.3953099250793457,1272.899169921875,115096,89.15972208976746,,52
-5.236735,65.24737,87.99807,-116.29112,374.5,32.941486,89.19251,169.41278,-70.68417,600.25,1.9169143438339233,819.183349609375,117497,92.07392406463623,,53
-7.5351424,65.12317,61.997383,-115.79376,454.0,114.708275,18.435234,133.14351,96.27304,1000.0,3.0911309719085693,559.4298095703125,119497,94.59262990951538,,54
-32.085052,58.26113,36.583523,-123.35726,521.25,70.340805,8.211193,78.552,62.129616,1000.0,2.071220874786377,343.75872802734375,121497,97.31411600112915,,55
17.513695,107.63814,131.77591,-126.72116,738.0,86.9952,64.21471,166.3752,9.103043,729.0,2.127577781677246,827.2692260742188,123684,100.17706108093262,,56
-64.28656,91.414894,27.918453,-188.86646,712.6666666666666,49.8641,59.1832,92.67985,-33.826077,784.0,1.700412631034851,356.3650817871094,126036,103.4376437664032,,57
-70.42249,95.32509,62.752586,-155.13756,883.3333333333334,-61.443287,120.30807,106.052505,-182.90726,650.75,-1.7249252796173096,1353.1907958984375,128639,106.94118905067444,,58
-85.896576,18.184324,-61.04371,-104.04627,865.6666666666666,9.305487,45.431477,70.93179,-43.07008,741.0,-0.07198001444339752,309.5345458984375,131603,110.64568901062012,,59
-27.864084,92.51282,102.79942,-98.95917,883.3333333333334,13.863701,24.04184,37.90554,-10.178139,1000.0,0.058826345950365067,195.8962860107422,133603,115.87572598457336,,60
-84.352486,27.185802,-45.908688,-103.97125,743.3333333333334,-50.196182,76.85489,26.65871,-127.05107,1000.0,-1.1867421865463257,371.0013122558594,135603,118.8204140663147,,61
-40.292534,100.97083,60.678303,-141.26337,1000.0,-76.79297,5.395958,-71.39701,-82.18893,1000.0,-1.8802257776260376,291.8948669433594,137603,121.98998403549194,,62
-76.380196,20.961021,-55.419174,-97.34122,1000.0,-30.337967,137.93114,107.59317,-168.2691,1000.0,-0.46299442648887634,449.9667663574219,139603,125.17379379272461,,63
-44.093456,15.656072,-28.437384,-59.749527,1000.0,-148.83621,39.67656,-109.15965,-188.51277,1000.0,-2.548038959503174,337.1836242675781,141603,128.74557876586914,,64
-62.28891,74.78699,16.449917,-158.39636,704.0,-43.08185,78.274605,65.26152,-116.917114,973.3333333333334,-0.9441211223602295,395.88800048828125,144523,133.19233393669128,,65
-39.823494,115.93541,96.47411,-171.31805,700.25,-90.066444,89.217125,-8.661724,-214.25232,760.3333333333334,-2.052046060562134,570.9180297851562,146804,137.1076409816742,,66
-35.099277,120.728004,131.94664,-149.19383,864.6666666666666,8.111675,61.02756,93.32704,-53.933037,671.75,0.4034513235092163,690.6303100585938,149491,141.04881381988525,,67
104.18915,15.710983,119.90013,88.478165,1000.0,23.461594,65.25814,81.748405,-67.648926,880.0,0.5315424799919128,507.67193603515625,152131,144.48624396324158,,68
82.01902,42.278366,124.297386,39.740658,1000.0,113.00298,13.769325,126.77231,99.23366,1000.0,2.2068164348602295,441.19195556640625,154131,147.97653317451477,,69
80.35422,51.823135,132.17735,28.53108,1000.0,72.64278,12.686008,85.32878,59.956764,1000.0,1.4716651439666748,291.72882080078125,156131,151.28018403053284,,70
35.409515,71.07389,86.40871,-65.100464,836.3333333333334,-6.6549287,22.325071,23.747446,-29.230728,778.0,-0.3723776936531067,464.4006042480469,158465,154.87508010864258,,71
47.957294,9.289714,58.750053,36.073586,738.6666666666666,43.422035,40.177406,83.59944,3.2446327,1000.0,0.540358304977417,120.07170104980469,160465,158.25547003746033,,72
4.5282526,2.0905294,6.618782,2.4377232,1000.0,61.411842,2.050188,63.46203,59.361652,1000.0,0.926841676235199,198.05360412597656,162465,161.61216497421265,,73
31.400173,38.8995,70.299675,-7.4993286,1000.0,65.72854,72.33303,168.0043,12.901718,931.6666666666666,0.12100594490766525,447.7364501953125,165260,165.66905903816223,,74
