Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-193.89479,116.805855,-0.4081726,-459.3138,87.8695652173913,-188.63075,100.26734,-54.81337,-462.75793,90.95454545454545,-78.23939514160156,11580.931640625,2001,0.5793290138244629,-188.63075,0
-179.25696,97.23331,38.796127,-364.6809,95.66666666666667,-216.86636,127.2555,-81.78838,-556.3147,93.4090909090909,-84.10215759277344,16310.7724609375,4056,1.3659210205078125,,1
-161.52141,68.40432,-68.63428,-336.26923,100.4,-150.76578,84.60481,-26.461723,-414.71423,92.13636363636364,-53.17062759399414,6714.45703125,6083,1.9373958110809326,,2
-157.00381,56.89378,-72.14783,-257.84674,92.45454545454545,-135.70158,70.70828,6.121086,-282.8501,97.42857142857143,-42.775936126708984,5235.33544921875,8129,2.559885025024414,,3
-168.07333,83.95237,-69.503296,-395.91745,96.76190476190476,-114.39616,73.71104,8.787104,-372.31104,91.3913043478261,-33.00393295288086,4093.18359375,10231,3.154080867767334,,4
-132.68932,59.408413,-44.42796,-294.73975,91.4090909090909,-129.59312,61.649563,-47.49796,-306.93408,91.36363636363636,-39.49623489379883,3743.45947265625,12241,3.7956109046936035,,5
-121.43128,46.589783,-61.75295,-269.82806,91.13636363636364,-158.66374,68.422615,-66.782425,-350.30206,96.47619047619048,-46.00686264038086,4894.40185546875,14267,4.38560676574707,,6
-115.25769,79.73816,2.1584702,-314.933,100.85,-146.20721,70.686134,-46.900284,-319.99243,96.23809523809524,-39.48575973510742,4216.2822265625,16288,5.032756805419922,,7
-109.314354,52.241615,-44.10518,-284.06366,91.68181818181819,-107.56847,48.377323,-44.58134,-270.4494,87.04347826086956,-26.495742797851562,1854.600341796875,18290,5.618500709533691,,8
-113.74497,74.56846,1.9404068,-276.09,94.04545454545455,-140.17014,64.40596,-26.767776,-288.45883,103.8,-30.5533504486084,3421.19482421875,20366,6.224289894104004,,9
-129.07544,63.82604,-10.769989,-320.0328,97.9047619047619,-133.9937,93.93185,-9.643204,-500.11273,94.13636363636364,-30.568584442138672,4788.72998046875,22437,6.84313702583313,,10
-123.3811,75.14321,-33.69644,-410.34277,98.23809523809524,-149.48274,74.02909,-62.573654,-333.42664,96.0952380952381,-34.13754653930664,3890.568115234375,24455,7.446564674377441,,11
-113.516975,48.57825,-45.920242,-256.1751,99.85714285714286,-120.422005,66.274376,-8.6877365,-248.45454,107.26315789473684,-15.539815902709961,2109.0751953125,26493,8.091429710388184,,12
-98.72453,60.53141,29.685257,-249.9492,109.3157894736842,-130.58981,52.351833,-59.654243,-274.44833,103.5,-19.845067977905273,1720.704345703125,28563,8.719619750976562,,13
-86.84719,53.710003,-7.4723206,-197.77502,113.88888888888889,-115.95897,46.48292,-40.776943,-216.31146,113.22222222222223,-10.735629081726074,956.742919921875,30601,9.357909917831421,,14
-90.854996,34.3593,-17.842743,-153.22809,106.84210526315789,-135.64586,52.521385,-61.602608,-281.59674,118.22222222222223,-14.767640113830566,1379.42822265625,32729,10.01695990562439,,15
-110.67401,70.18665,4.4257584,-324.7028,111.15789473684211,-113.59456,71.137085,33.30584,-259.28223,108.0,-7.981054306030273,2576.05224609375,34781,10.676048755645752,,16
-116.36444,60.911083,-10.458015,-282.28156,117.94117647058823,-106.30743,78.290825,-14.844154,-324.21176,112.5,-4.048943042755127,2475.92333984375,36806,11.336891889572144,,17
-84.500595,45.458168,14.636322,-181.73741,117.16666666666667,-76.77828,41.890255,-3.112526,-171.26135,108.94736842105263,6.1428070068359375,1538.444091796875,38876,12.012070894241333,,18
-86.50496,61.842815,-15.232674,-244.75104,121.29411764705883,-87.67037,52.08594,13.443596,-208.3839,127.875,4.488437652587891,1396.25244140625,40922,12.736134767532349,,19
-101.62498,84.68724,17.375298,-283.36697,134.4,-79.143326,54.998104,-28.377169,-266.33322,119.6470588235294,6.366705417633057,1354.93896484375,42956,13.437219858169556,,20
-84.49276,59.60597,-5.433731,-238.08102,126.125,-107.67034,91.72642,-28.34314,-313.2952,121.05882352941177,-3.3263769149780273,2286.854736328125,45014,14.129549980163574,,21
-79.14353,67.56209,14.550446,-177.31348,169.25,-102.08787,73.23135,18.245049,-272.04675,147.14285714285714,2.8392534255981445,1021.1514282226562,47074,14.957721710205078,,22
-70.253685,29.635155,-39.56286,-143.14195,173.0,-91.90124,92.13448,16.450172,-341.1934,152.42857142857142,5.147467136383057,2488.43017578125,49208,15.821687936782837,,23
-109.13174,113.69886,70.139435,-326.55966,306.2857142857143,-108.84457,103.6481,-8.512423,-374.12872,161.76923076923077,2.9845597743988037,1680.22607421875,51311,17.22281289100647,,24
-73.187,66.88539,-6.267479,-232.20508,199.0909090909091,-89.5411,66.61338,-6.9085007,-264.85364,201.5,8.897156715393066,2041.5745849609375,53326,18.181732654571533,,25
-73.96695,66.29941,21.614761,-172.8486,291.44444444444446,-66.39358,83.833275,43.287033,-211.23425,308.0,15.316994667053223,2466.9140625,55482,20.79881978034973,,26
